formula,sym_val,ehull_c2db,decomp_energy_m2,gap_c2db,gap_m2,magmom_u_c2db,total_magnetization_m2,energy_c2db,energy_per_atom_m2,natoms_m2,total_energy_m2
AuS2,164,0.399701429054633,0.07287727130208355,0.0,0.0,,1.56e-05,-10.269158446557483,-3.47416048,3,-10.42248144
AuSe2,164,0.2631859650207818,0.2666534621354164,0.0,0.0,,1e-07,-9.55194302251668,-3.2182537866666667,3,-9.65476136
AuTe2,164,0.2244523533485013,0.23190935000000001,0.0,0.0,,-9.6e-06,-9.177126458431477,-3.03775359,3,-9.11326077
B2O3,189,0.002593945207020454,0.020691139333331776,5.3170407908038655,5.1866,,-0.0,-40.7900167975039,-8.003926936000001,5,-40.01963468
B3C10N3,25,0.5768328772596699,0.5849431756249999,0.8106971410320543,0.8140000000000001,,0.0,-135.9641417072842,-8.47555185125,16,-135.60882962
BN,187,0.0,0.00014852750000038384,4.666851527655782,4.6628,,-0.0,-17.64154433799843,-8.78690031,2,-17.57380062
BP,187,0.3817281651856588,0.3806850000000006,0.8982029615220493,0.8654000000000002,,0.0,-12.128016769998176,-6.073152195,2,-12.14630439
BSb,187,0.8062554366369881,0.8396127491666663,0.3139642674653609,0.2189000000000001,,-0.0,-9.498322079178433,-4.563531185,2,-9.12706237
Ba2Cu2,191,0.10684251077024909,0.12386352125000011,,0.0,,3e-07,-11.013786914298525,-2.9543869975,4,-11.81754799
Ba2F2I2,129,0.0005878216182135058,0.0,3.899982883636374,4.3368,,-0.0,-27.557139832263253,-4.64066259,6,-27.84397554
Ba2H8O6,26,0.027487514747932984,0.04801132687499976,4.227944606383522,3.7203,,0.0,-85.77207996592874,-5.261459214375,16,-84.18334743
Ba2Mg2Pb2,129,0.6389039432670969,0.8013296850303022,0.0,0.018699999999999717,,0.0,-13.158724186820866,-2.0044155433333333,6,-12.026493259999999
Ba2Mg2Sn2,129,0.711775481793749,0.8363331312424234,0.0,0.08550000000000013,,-0.0002239,-13.698906342196175,-2.147354885,6,-12.884129309999999
Ba2N,164,0.16450132555893346,0.11475755333333293,0.0,0.0,,-0.0043993,-12.855740641822214,-4.289096653333334,3,-12.86728996
BaBr2,115,0.24439577578870816,0.2521906062500001,4.558801133689169,4.628399999999999,,0.0,-11.062693624201572,-3.7031827566666666,3,-11.10954827
BaBr2,164,0.056444759765483354,0.06386133958333318,4.902112602626158,4.9739,,0.0,-11.626546672271246,-3.8915120233333336,3,-11.67453607
BaCl2,115,0.29989874917851606,0.3065280999999995,5.192167518541035,5.2257,,-0.0,-12.332147580105405,-4.124398396666667,3,-12.37319519
BaCl2,164,0.10836629148267878,0.11348736333333331,5.618229366763851,5.7191,,0.0,-12.906744953192916,-4.317439133333333,3,-12.952317399999998
BaF2,115,0.3753813203325394,0.3825429833333329,5.654669698609944,5.7381,,-0.0,-15.920929234336247,-5.387409356666667,3,-16.16222807
BaF2,164,0.18222149995385806,0.19078525000000024,,6.3026,,-0.0,-16.50040869547229,-5.579167089999999,3,-16.73750127
BaI2,115,0.2056464473678575,0.20919231375000003,3.958321557058426,4.1563,,0.0,-9.6788421548823,-3.2444006499999998,3,-9.73320195
BaI2,164,0.02119508395719431,0.027695370416666254,3.8728610404507675,3.9853000000000005,,-0.0,-10.23219624511429,-3.4258975933333335,3,-10.27769278
Be2F4,51,0.0,0.5143798636111114,8.25356772067039,8.2478,,-0.0,-33.559608347387545,-5.250447498333333,6,-31.50268499
Bi2,164,0.10122034140523173,0.07726180500000002,0.5573619465140581,0.5565000000000002,,0.0,-9.14592409619966,-3.760166995,2,-7.52033399
Bi2Cd2Cl2O4,11,0.02724189402757631,0.03783762608333152,2.8452191653800516,3.1710000000000003,,-0.0,-46.95417586486467,-4.439352941,10,-44.39352941
Bi2Cl6,162,0.0,0.0,2.3599466806998906,3.4188,,-0.0,-28.174876279937926,-3.33819989125,8,-26.70559913
Bi2Cu2S4,26,0.10403224332957889,0.10212634546874977,0.13557980252944235,0.2447999999999999,0.0,-0.0,-34.62416957471169,-4.22845361625,8,-33.82762893
Bi2F6,147,0.05280996190986098,0.11756090062499958,4.316790709439207,5.0287,,0.0,-38.771901858887716,-4.720201365,8,-37.76161092
Bi2Ga2,129,0.06826115476764505,0.10649492750000045,0.03103860710858619,0.0,,1.1e-06,-14.881994938002629,-3.36124426,4,-13.44497704
Bi2Ge3O9,174,0.12745902720475957,0.14933385374999997,3.3643839450239224,3.9257999999999997,,-0.0,-89.02085937269567,-6.112258966428572,14,-85.57162553
Bi2Hf,164,0.06658953045057932,0.0,0.0,0.0,,3.5e-06,-17.077316074063333,-5.973688546666666,3,-17.92106564
Bi2I2O2,129,0.0,0.0,1.0170631748839314,1.5306000000000002,,-0.0,-28.53684818964076,-4.4329633033333335,6,-26.59777982
Bi2I6,162,0.0,0.009219637499999767,1.3769780431671466,2.5333999999999994,,0.0,-22.17623259824552,-2.58703989875,8,-20.69631919
Bi2In2,129,0.0939139082897098,0.1243013925000005,0.03717174432881709,0.0,,-2e-07,-14.505103954533737,-3.188443305,4,-12.75377322
Bi2Mn2Br2S4,10,0.1455208506256283,0.17626819299999763,,0.0,,10.0042939,-52.31947236928347,-4.9846315599999995,10,-49.8463156
Bi2Mn2Cl2S4,26,0.12657938643847277,0.1590353664999995,,0.23019999999999996,,10.020303,-53.54300559364629,-5.104010915,10,-51.04010915
Bi2Mn2I2Se4,10,0.1350770061890354,0.13560132249999857,,0.0017000000000000348,,10.0046059,-48.453805096090186,-4.582772887,10,-45.82772887
Bi2MnTe4,164,0.03575216304556404,0.008760136428571208,0.11020990426606136,0.8198,5.0000545485301515,5.0002289,-33.0776796291545,-4.40048959,7,-30.803427130000003
