formula,symmetry_type,symmetry_value,in_c2db,in_2dmatpedia_final
Ag2Hg2Br2S2,number,26,True,False
Ag2Hg2Br2Se2,number,26,True,False
Ag2Hg2Br2Te2,number,26,True,False
Ag2Hg2Br6,number,162,True,False
Ag2Hg2Cl2S2,number,26,True,False
Ag2Hg2Cl2Se2,number,26,True,False
Ag2Hg2Cl2Te2,number,26,True,False
Ag2Hg2F2S2,number,26,True,False
Ag2Hg2F2Se2,number,26,True,False
Ag2Hg2F2Te2,number,26,True,False
Ag2Hg2I2S2,number,26,True,False
Ag2Hg2I2Se2,number,26,True,False
Ag2Hg2I2Te2,number,26,True,False
Ag2Hg2I6,number,162,True,False
Ag2I2,number,129,True,True
Ag2I2,number,164,True,True
Ag2I2,number,187,True,False
Ag2I2,number,51,False,True
Ag2I2,number,67,True,False
Ag2I2N2,number,2,True,False
Ag2I2N2,number,59,True,False
Ag2I2N2S2,number,31,True,False
Ag2I2O2,number,59,True,False
Ag2I2P4S3,number,6,True,False
Ag2I2P4Se3,number,6,True,False
Ag2I2P4Te3,number,6,True,False
Ag2I2S2,number,59,True,False
Ag2I2S2Se,number,1,True,False
Ag2I2S3Sb4,number,6,True,False
Ag2I2S4,number,17,True,False
Ag2I2Sb4Se3,number,6,True,False
Ag2I2Sb4Te3,number,6,True,False
Ag2I2Se2,number,59,True,False
Ag2I2Se4,number,4,True,False
Ag2I2SeTe,number,8,True,False
Ag2I2Te2,number,59,True,False
Ag2I2Te4,number,4,True,False
Ag2I4,number,12,True,False
Ag2I4,number,14,False,True
Ag2I4,number,17,True,False
Ag2I4O12,number,4,True,False
Ag2I6,number,162,True,False
Ag2I6,number,191,True,False
Ag2I6,number,49,True,False
Ag2I6,number,59,True,False
Ag2IO6,number,162,False,True
Ag2Ir2F14,number,26,False,True
Ag2IrRhBrCl3Se3Te,number,1,True,False
Ag2K2Se2,number,129,True,False
Ag2Li2C4O8,number,2,False,True
Ag2Li2C4O8,number,4,False,True
Ag2Li2C4O8,number,7,False,True
Ag2Li2F4,number,11,False,True
Ag2Li2F8,number,30,False,True
Ag2Mg2,number,191,False,True
Ag2Mg2Br6,number,162,True,False
Ag2Mg2Cl6,number,162,True,False
Ag2Mg2I6,number,162,True,False
Ag2Mg2O5,number,25,False,True
Ag2Mn2Br6,number,162,True,False
Ag2Mn2Cl6,number,162,True,False
Ag2Mn2I6,number,162,True,False
Ag2MnBrIS3,number,25,True,False
Ag2Mo6O28P4,number,11,False,True
Ag2MoO4,number,111,True,False
Ag2MoO4,number,35,True,False
Ag2MoS4,number,111,True,False
Ag2MoSe4,number,111,True,False
Ag2MoTe4,number,111,True,False
Ag2N12,number,31,False,True
Ag2N2,number,129,False,True
Ag2N6,number,49,False,True
Ag2Na2Te2,number,129,True,False
Ag2Ni2I6,number,162,True,False
Ag2O,number,191,True,False
Ag2O12P4,number,12,True,False
Ag2O12Sb4,number,12,True,False
Ag2O2,number,10,True,False
Ag2O2,number,164,True,False
Ag2O4,number,12,True,False
Ag2O4,number,14,True,False
Ag2O4,number,164,False,True
Ag2O4P2,number,26,True,False
Ag2O4S,number,21,True,True
Ag2O4Sb2,number,26,True,False
Ag2O4Se,number,21,True,True
Ag2O4Te,number,21,True,False
Ag2O5,number,21,True,False
Ag2O6P2,number,162,True,False
Ag2O6P2,number,2,True,False
Ag2O6Sb2,number,12,True,False
Ag2O6Si2,number,51,True,False
Ag2OS4,number,21,True,False
Ag2P12,number,31,False,True
Ag2P2S4,number,26,True,False
Ag2P2S6,number,162,True,False
Ag2P2Se4,number,26,True,False
Ag2P2Se6,number,12,True,False
Ag2P2Se6,number,162,True,False
Ag2P2Te4,number,26,True,False
Ag2P2Te6,number,162,True,False
Ag2P4S12,number,12,True,False
Ag2Pb2Br6,number,162,True,False
Ag2Pb2Cl6,number,162,True,False
Ag2Pb2I6,number,162,True,False
Ag2Pb8Cl2O8,number,85,False,True
Ag2PdO2,number,47,False,True
Ag2ReBr6,number,162,True,False
Ag2ReCl6,number,147,False,True
Ag2ReCl6,number,162,True,False
Ag2ReF6,number,147,True,False
Ag2ReH6,number,6,True,False
Ag2ReI6,number,162,True,False
Ag2S,number,191,True,False
Ag2S12Sb4,number,12,True,False
Ag2S2,number,10,True,True
Ag2S2,number,129,True,False
Ag2S2,number,164,True,False
Ag2S2,number,187,True,False
Ag2S2,number,59,True,True
Ag2S4,number,12,True,False
Ag2S4,number,14,True,False
Ag2S4,number,6,False,True
Ag2S4Sb2,number,26,True,False
Ag2S4Se,number,21,True,False
Ag2S4Te,number,21,True,False
Ag2S5,number,21,True,False
Ag2S6Sb2,number,12,True,False
Ag2S6Sb2,number,162,True,False
Ag2S6Si2,number,51,True,False
Ag2S6Te2,number,162,True,False
Ag2Sb2Se4,number,26,True,False
Ag2Sb2Se6,number,162,True,False
Ag2Sb2Te4,number,26,True,False
Ag2Sb2Te6,number,162,True,False
Ag2Se,number,191,True,False
Ag2Se2,number,10,True,True
Ag2Se2,number,129,True,False
Ag2Se2,number,164,True,False
Ag2Se2,number,187,True,False
Ag2Se2,number,59,True,True
Ag2Se4,number,115,False,True
Ag2Se4,number,12,True,False
Ag2Se4,number,14,True,False
Ag2Sn2Br6,number,162,True,False
Ag2Sn2Cl6,number,162,True,False
Ag2Sn2O6,number,51,True,False
Ag2Sn2S6,number,51,True,False
Ag2Sr2,number,191,True,True
Ag2Sr2Br6,number,162,True,False
Ag2Sr2I6,number,162,True,False
